Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
usersnap vs marker.io vs bugherd,1,1,40,14,0.00,https://marker.io/blog/usersnap-vs-bugherd-vs-markerio,32,1.22,0.00,0,9270,"[9,100,0]",2026-02-14,"Video, Ads bottom, Related searches, AI overview",commercial,Organic
bug template,3,3,390,23,4.68,https://marker.io/blog/bug-report-template,31,1.18,145.00,0.13,121000000,"[23,44,67,100,44,12,36,23,67,23,15,12]",2026-04-15,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
user acceptance testing template,1,1,320,18,5.12,https://marker.io/blog/user-acceptance-testing-template,26,0.99,133.00,0.06,0,"[43,54,100,66,54,35,54,81,66,81,66,66]",2026-03-13,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
website qa checklist,1,1,90,11,3.97,https://marker.io/blog/website-qa-checklist,22,0.84,87.00,0.13,11900000,"[10,18,14,22,18,18,18,18,18,14,8,14]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
web project plan template,1,1,90,37,3.23,https://marker.io/blog/website-project-plan-template,22,0.84,71.00,0.14,95900000,"[7,42,42,15,34,34,42,26,19,100,19,11]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
bug report templates,1,1,90,24,5.22,https://marker.io/blog/bug-report-template,22,0.84,114.00,0.18,20800000,"[11,23,23,5,5,29,100,100,82,100,100,64]",2026-03-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
bug reporting tools,4,4,480,74,12.31,https://marker.io/,21,0.8,258.00,0.28,399000000,"[81,67,81,100,100,54,44,36,44,36,23,19]",2026-04-09,"Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, AI overview",informational,Organic
sit vs uat,1,1,260,26,0.00,https://marker.io/blog/sit-vs-uat,21,0.8,0.00,0,1720000,"[43,54,43,54,43,54,100,54,54,54,43,35]",2026-04-16,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
staging environment,1,1,480,27,0.00,https://marker.io/blog/staging-environment,21,0.8,0.00,0,0,"[72,59,59,59,59,39,39,48,32,48,39,21]",2026-03-11,"Image pack, Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Image pack
website feedback tool,5,5,590,22,9.65,https://marker.io/blog/website-feedback-tools,20,0.76,193.00,0.32,1750000000,"[54,44,54,54,67,67,100,100,67,81,81,67]",2026-04-14,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",commercial,Organic
bug report template,1,1,480,20,5.22,https://marker.io/blog/bug-report-template,19,0.72,99.00,0.18,89900000,"[24,55,67,45,24,20,30,36,100,16,16,20]",2026-04-06,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Image pack
uat template,2,2,140,17,0.00,https://marker.io/blog/user-acceptance-testing-template,18,0.68,0.00,0.04,2000000,"[53,53,42,53,65,53,42,100,34,53,34,42]",2026-03-03,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
web redesign project plan template,1,1,70,26,9.05,https://marker.io/blog/website-project-plan-template,17,0.65,153.00,0.07,352000000,"[11,64,64,64,64,11,11,11,64,41,23,23]",2026-04-09,"Sitelinks, Video, Image, Related searches",commercial,Organic
project plan template for website development,1,1,70,18,6.44,https://marker.io/blog/website-project-plan-template,17,0.65,109.00,0.06,0,"[28,0,0,100,0,0,50,78,64,78,50,100]",2026-03-08,"Image pack, Sitelinks, Video, Related searches",informational,Organic
website redesign checklist,3,3,390,11,3.33,https://resources.marker.io/website-redesign-checklist/,17,0.65,56.00,0.18,1080000,"[15,29,23,36,36,54,66,100,100,81,66,100]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, AI overview",informational,Organic
web design project plan template,1,1,70,33,0.00,https://marker.io/blog/website-project-plan-template,17,0.65,0.00,0.1,67900000,"[11,11,64,64,64,17,11,41,41,64,41,41]",2026-02-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
software bug report template,1,1,390,16,5.22,https://marker.io/blog/bug-report-template,16,0.61,83.00,0.18,0,"[24,45,55,45,24,13,16,16,100,16,10,10]",2026-03-11,"Image pack, Sitelinks, Video, Related searches",informational,Image pack
software bug report template,1,1,390,16,5.22,https://marker.io/blog/bug-report-template,16,0.61,83.00,0.18,0,"[24,45,55,45,24,13,16,16,100,16,10,10]",2026-03-11,"Image pack, Sitelinks, Video, Related searches",informational,Image pack
bugherd,6,6,1600,48,5.87,https://marker.io/blog/bugherd-alternatives,16,0.61,93.00,0.13,106000,"[68,68,100,84,100,84,84,84,84,84,84,68]",2026-04-02,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Related searches",navigational,Organic
bug report template,5,5,480,20,5.22,https://marker.io/blog/bug-report-template,16,0.61,83.00,0.18,89900000,"[24,55,67,45,24,20,30,36,100,16,16,20]",2026-04-06,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches",informational,Organic
uat document template,2,2,110,15,3.61,https://marker.io/blog/user-acceptance-testing-template,14,0.53,50.00,0.08,109,"[4,2,11,2,2,2,100,2,2,4,2,2]",2026-03-21,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
send feedback button,2,2,110,14,0.00,https://marker.io/blog/feedback-button,14,0.53,0.00,0.01,140,"[42,52,33,42,100,80,66,33,42,66,66,52]",2026-03-30,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
staging environment,5,5,480,27,0.00,https://marker.io/blog/staging-environment,14,0.53,0.00,0,0,"[72,59,59,59,59,39,39,48,32,48,39,21]",2026-03-11,"Image pack, Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
user acceptance test plan template,2,2,110,12,0.00,https://marker.io/blog/user-acceptance-testing-template,14,0.53,0.00,0.02,25000000,"[28,34,34,28,34,43,100,34,34,28,21,21]",2026-03-27,"Image pack, Video, Image, Related searches, Discussions and forums",informational,Organic
uat test case template,1,1,110,20,0.00,https://marker.io/blog/user-acceptance-testing-template,14,0.53,0.00,0.14,119,"[2,2,2,5,2,5,100,5,2,2,2,2]",2026-03-28,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
marker.io,4,4,480,19,7.94,https://help.marker.io/en/,14,0.53,111.00,0.42,0,"[1,1,3,0,1,100,0,65,0,4,5,5]",2026-03-10,"Video, Ads top, Video Carousel","navigational, transactional",Organic
web design questionnaire,4,4,210,18,4.30,https://marker.io/blog/website-design-questionnaire,13,0.49,55.00,0.17,96200000,"[22,22,22,22,14,29,22,100,81,54,54,43]",2026-02-27,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums",informational,Organic
bug tracker template,2,2,170,37,7.71,https://marker.io/blog/bug-report-template,13,0.49,100.00,0.09,72100000,"[28,35,66,66,53,28,43,17,100,43,35,53]",2026-03-29,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
website project management plan sample,1,1,50,30,0.00,https://marker.io/blog/website-project-plan-template,12,0.45,0.00,0.33,914000000,"[18,100,100,100,18,18,18,18,100,36,36,36]",2026-03-30,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
website project planning template,1,1,50,31,0.00,https://marker.io/blog/website-project-plan-template,12,0.45,0.00,0.06,191,"[14,0,0,7,0,0,78,78,100,50,35,64]",2026-03-25,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
website annotation tool gfxmaker,2,2,170,0,0.00,https://marker.io/website-annotation-tool,11,0.42,0.00,0.33,189,"[0,0,0,0,0,23,36,81,100,15,1,12]",2026-02-25,"Sitelinks, Video, Related searches, AI overview",commercial,Organic
website marking,1,1,90,89,12.00,https://marker.io/website-annotation-tool,11,0.42,132.00,0.2,3230000000,"[2,4,2,100,1,0,1,2,2,4,3,0]",2026-03-19,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
software bug template,2,2,90,28,4.68,https://marker.io/blog/bug-report-template,11,0.42,51.00,0.13,77700000,"[64,41,41,41,82,52,29,82,41,82,29,41]",2026-03-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
website building questionnaire,2,2,90,23,8.04,https://marker.io/blog/website-design-questionnaire,11,0.42,88.00,0.62,102000000,"[80,42,52,23,33,33,66,66,23,23,19,23]",2026-03-27,"Sitelinks, Video, Video Carousel, Related searches","commercial, informational",Organic
website development plan template,4,4,170,25,6.44,https://marker.io/blog/website-project-plan-template,11,0.42,70.00,0.06,149,"[12,19,12,23,15,10,15,15,100,12,12,12]",2026-03-22,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
sample web development project plan,1,1,140,24,5.50,https://marker.io/blog/website-project-plan-template,11,0.42,60.00,0.06,694000000,"[2,12,12,12,12,15,7,4,5,100,12,5]",2026-03-01,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
marker.io,5,5,480,19,7.94,https://help.marker.io/en/articles/11588515-marker-io-101,11,0.42,87.00,0.42,0,"[1,1,3,0,1,100,0,65,0,4,5,5]",2026-03-10,"Video, Ads top, Video Carousel","navigational, transactional",Organic
marker.io,6,6,480,19,7.94,https://help.marker.io/en/articles/7046812-get-started-with-marker-io,11,0.42,87.00,0.42,0,"[1,1,3,0,1,100,0,65,0,4,5,5]",2026-03-10,"Video, Ads top, Video Carousel","navigational, transactional",Organic
web quality assurance checklist,1,1,90,8,3.97,https://marker.io/blog/website-qa-checklist,11,0.42,43.00,0.13,12700000,"[45,81,63,100,81,81,63,63,100,81,36,81]",2026-03-01,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
website planning template,8,8,480,29,5.42,https://marker.io/blog/website-project-plan-template,10,0.38,54.00,0.28,0,"[23,54,67,54,29,19,54,44,100,54,54,67]",2026-03-06,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
screen grab chrome plugin,6,6,1000,43,1.93,https://marker.io/blog/google-chrome-screenshot-extensions,10,0.38,19.00,0.17,4710000,"[81,10,81,81,100,81,100,6,45,81,81,62]",2026-02-28,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches",commercial,Organic
bug report sample,1,1,260,25,3.87,https://marker.io/blog/bug-report-template,10,0.38,38.00,0.17,134000000,"[19,29,54,54,36,36,15,29,12,100,19,12]",2026-02-23,"Image pack, Video, Image, Related searches",informational,Image pack
software user acceptance testing template,1,1,110,20,5.12,https://marker.io/blog/user-acceptance-testing-template,9,0.34,46.00,0.06,29200000,"[42,52,100,100,42,42,23,42,52,42,33,33]",2026-03-27,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
sit and uat,2,2,140,28,0.00,https://marker.io/blog/sit-vs-uat,9,0.34,0.00,0.01,165,"[80,66,66,80,52,52,66,52,52,80,42,33]",2026-03-30,"Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
website quality assurance checklist,1,1,70,3,3.97,https://marker.io/blog/website-qa-checklist,9,0.34,35.00,0.13,10500000,"[10,14,14,14,18,18,14,18,18,14,8,14]",2026-02-28,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
uat vs system testing,3,3,140,15,0.00,https://marker.io/blog/sit-vs-uat,9,0.34,0.00,0.33,10600000,"[2,2,2,2,2,39,100,3,2,2,2,2]",2026-04-14,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
page design tools,7,7,1300,100,5.75,https://marker.io/blog/web-design-tools,9,0.34,51.00,0.05,3310000000,"[5,44,44,55,65,82,3,24,55,44,65,82]",2026-03-28,"Image pack, Video, Video Carousel, Related searches, AI overview",informational,Image pack
software bug report template,8,8,390,16,5.22,https://marker.io/blog/bug-report-template,9,0.34,46.00,0.18,0,"[24,45,55,45,24,13,16,16,100,16,10,10]",2026-03-11,"Image pack, Sitelinks, Video, Related searches",informational,Organic
web page project plan,4,4,210,29,6.63,https://marker.io/blog/website-project-plan-template,9,0.34,59.00,0.61,1530000000,"[6,13,6,10,16,10,6,5,100,10,5,3]",2026-04-02,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
bugherd,8,8,1600,48,5.87,https://marker.io/blog/bugherd-alternatives,9,0.34,52.00,0.13,106000,"[68,68,100,84,100,84,84,84,84,84,84,68]",2026-04-02,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Related searches",navigational,Organic
uat software testing template,1,1,110,16,4.28,https://marker.io/blog/user-acceptance-testing-template,9,0.34,38.00,0.1,116,"[42,42,53,65,42,53,100,42,34,34,19,19]",2026-03-26,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
project plan website development template,1,1,40,34,6.44,https://marker.io/blog/website-project-plan-template,9,0.34,57.00,0.06,0,"[33,55,100,77,33,22,11,11,44,33,33,33]",2026-03-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
github vs gitlab vs bitbucket,4,4,210,21,0.00,https://marker.io/blog/github-vs-gitlab-vs-bitbucket,9,0.34,0.00,0.01,4320000,"[35,53,53,53,82,82,66,66,43,43,66,43]",2026-03-05,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
uat testing template,1,1,140,19,4.28,https://marker.io/blog/user-acceptance-testing-template,9,0.34,38.00,0.1,0,"[35,28,43,53,43,35,100,28,28,17,12,12]",2026-03-18,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
uat sample document,1,1,40,16,0.00,https://marker.io/blog/user-acceptance-testing-template,9,0.34,0.00,0.05,359000,"[45,36,18,100,18,18,18,100,0,0,18,18]",2026-02-26,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
jira test cases,1,1,50,32,6.31,https://marker.io/blog/write-test-cases-jira,9,0.34,56.00,0.42,123,"[23,52,23,23,23,23,23,23,42,19,19,33]",2026-04-06,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
acceptance testing template,1,1,70,17,3.97,https://marker.io/blog/user-acceptance-testing-template,9,0.34,35.00,0.16,22300000,"[41,52,41,52,64,52,41,100,29,41,29,23]",2026-03-02,"Image pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
web qa checklist,1,1,70,4,3.97,https://marker.io/blog/website-qa-checklist,9,0.34,35.00,0.13,3980000,"[55,77,77,55,55,100,55,55,77,77,44,100]",2026-03-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
sample project plan for website development,1,1,70,29,0.00,https://marker.io/blog/website-project-plan-template,9,0.34,0.00,0,313000000,"[11,64,64,64,11,11,11,11,82,41,41,41]",2026-04-06,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
uat and sit testing,3,3,140,24,0.00,https://marker.io/blog/sit-vs-uat,9,0.34,0.00,0.33,510000,"[2,2,2,2,2,39,100,3,2,2,2,2]",2026-04-14,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
screen grab extension,7,7,320,40,1.79,https://marker.io/blog/google-chrome-screenshot-extensions,9,0.34,16.00,0.3,86500000,"[45,67,24,10,3,16,10,45,67,30,0,0]",2026-03-31,"Video, Related searches",informational,Organic
user acceptance test form,2,2,110,19,5.12,https://marker.io/blog/user-acceptance-testing-template,9,0.34,46.00,0.06,209000000,"[28,53,28,65,53,34,15,15,34,28,21,21]",2026-03-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
uat meaning,21,21,6600,31,0.00,https://marker.io/blog/user-acceptance-testing,9,0.34,0.00,0,19800000,"[66,66,66,81,66,81,81,66,81,81,66,54]",2026-04-13,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
marker.io,8,8,480,19,7.94,https://help.marker.io/en/articles/6495644-browser-extensions,9,0.34,71.00,0.42,0,"[1,1,3,0,1,100,0,65,0,4,5,5]",2026-03-10,"Video, Ads top, Video Carousel","navigational, transactional",Organic
bug reporting tool,2,2,110,62,12.31,https://marker.io/,9,0.34,110.00,0.28,133,"[33,23,52,52,19,4,100,80,52,52,42,66]",2026-04-09,"Sitelinks, Video, Video Carousel, Related searches, AI overview","commercial, informational",Organic
bug tracking template,1,1,210,27,7.71,https://marker.io/blog/bug-report-template,8,0.3,61.00,0.09,0,"[18,0,29,29,35,43,54,14,100,54,54,100]",2026-03-09,"Image pack, Video, Image, Video Carousel, Related searches",informational,Image pack
website testing sites,4,4,720,68,3.38,https://marker.io/blog/website-qa-testing,8,0.3,27.00,0.42,114,"[5,10,100,3,4,8,1,24,44,3,24,1]",2026-04-11,"Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",People also ask
uat meaning in tech,8,8,320,29,0.00,https://marker.io/blog/user-acceptance-testing,7,0.26,0.00,0,1430000,"[36,36,36,44,29,100,81,44,44,44,44,44]",2026-04-08,"Sitelinks, Video, Related searches, AI overview",informational,Organic
marker extension,3,3,90,35,0.00,https://help.marker.io/en/articles/6501657-browser-extensions-faqs,7,0.26,0.00,0.33,105000000,"[9,33,42,100,19,9,9,9,52,100,80,9]",2026-02-23,"Image pack, Video, Video Carousel, Popular products, Related searches",informational,Organic
staged environment,1,1,170,,0.00,https://marker.io/blog/staging-environment,7,0.26,0.00,0,0,"[19,29,12,15,44,36,7,12,23,23,23,7]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Image pack
markup website,7,7,390,57,3.23,https://marker.io/website-annotation-tool,7,0.26,22.00,0.16,34700000,"[1,1,10,16,8,8,62,55,30,3,3,100]",2026-04-02,"Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
website annotation tools that integrate with jira and asana,1,1,40,11,0.00,https://marker.io/asana-bug-tracking-tool,7,0.26,0.00,0,123,"[100,100,100,0,0]",2026-03-11,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
website development project plan template,4,4,170,28,6.44,https://marker.io/blog/website-project-plan-template,7,0.26,45.00,0.06,184,"[65,65,100,80,42,34,80,65,80,100,53,42]",2026-03-22,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
bug tracking template,5,5,210,27,7.71,https://marker.io/blog/bug-report-template,7,0.26,53.00,0.09,0,"[18,0,29,29,35,43,54,14,100,54,54,100]",2026-03-09,"Image pack, Video, Image, Video Carousel, Related searches",informational,Organic
uat testing meaning,11,11,1000,41,0.00,https://marker.io/blog/user-acceptance-testing,7,0.26,0.00,0,2560000,"[55,36,45,55,30,62,100,62,45,81,81,62]",2026-04-06,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
bug reporting software,6,6,320,69,12.69,https://marker.io/,7,0.26,88.00,0.1,0,"[66,54,100,36,36,29,44,54,29,54,29,36]",2026-03-10,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
uat vs sit,2,2,260,27,0.00,https://marker.io/blog/sit-vs-uat,7,0.26,0.00,0,95,"[9,17,17,17,17,17,39,100,17,14,17,21]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
uat sit,3,3,170,23,0.00,https://marker.io/blog/sit-vs-uat,7,0.26,0.00,0.01,0,"[4,17,3,2,3,39,100,5,3,5,14,2]",2026-03-10,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
uat and sit testing difference,3,3,170,22,0.00,https://marker.io/blog/sit-vs-uat,7,0.26,0.00,0.33,249000,"[4,4,4,4,5,48,100,7,3,5,3,4]",2026-04-07,"Image pack, Video, Related searches, AI overview",informational,Organic
screen capture extension,5,4,720,63,1.79,https://marker.io/blog/google-chrome-screenshot-extensions,7,0.26,12.00,0.3,211000000,"[29,24,29,10,4,13,10,18,7,24,4,2]",2026-04-17,"Image pack, Video, Related searches, AI overview",informational,Image pack
website build project plan,3,3,170,25,4.95,https://marker.io/blog/website-project-plan-template,7,0.26,34.00,0.24,682000000,"[4,11,17,11,21,11,3,5,5,100,2,4]",2026-03-02,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
website development questionnaire,1,1,30,19,5.74,https://marker.io/blog/website-design-questionnaire,7,0.26,40.00,0.09,102000000,"[22,22,22,100,22,22,33,22,22,22,22,22]",2026-03-02,"Sitelinks, Video, Image, Related searches",informational,Organic
website design questionnaire,6,6,210,20,8.04,https://marker.io/blog/website-design-questionnaire,7,0.26,56.00,0.62,0,"[53,23,35,23,28,28,66,66,53,66,100,66]",2026-03-09,"Sitelinks, Video, Related searches",informational,Organic
sample bug report example,3,3,110,19,0.00,https://marker.io/blog/bug-report-template,7,0.26,0.00,0.02,85900000,"[52,52,82,64,82,41,41,41,100,64,41,41]",2026-04-13,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
screenshot addon chrome,5,5,720,43,1.96,https://marker.io/blog/google-chrome-screenshot-extensions,7,0.26,13.00,0.21,51600000,"[44,3,0,55,13,44,2,24,65,0,55,0]",2026-03-24,"Video, Ads top, Ads bottom, Related searches",commercial,Organic
bug tracker template,1,1,170,37,7.71,https://marker.io/blog/bug-report-template,7,0.26,53.00,0.09,72100000,"[28,35,66,66,53,28,43,17,100,43,35,53]",2026-03-29,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
screen capture chrome extension,8,8,1300,41,1.96,https://marker.io/blog/google-chrome-screenshot-extensions,7,0.26,13.00,0.21,37000000,"[100,68,68,37,68,20,37,46,100,68,68,46]",2026-04-16,"Video, People also ask, Related searches",informational,Organic
website design project plan template,2,2,90,25,0.00,https://marker.io/blog/website-project-plan-template,7,0.26,0.00,0.06,261000000,"[35,78,78,78,14,50,100,78,78,64,64,64]",2026-04-14,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, Discussions and forums",informational,Organic
web development project plan sample,1,1,50,26,0.00,https://marker.io/blog/website-project-plan-template,6,0.22,0.00,0,129,"[14,78,78,78,14,14,14,14,100,28,14,0]",2026-04-08,"Image pack, Sitelinks, Image, Video Carousel, Related searches, AI overview",informational,Organic
web project plan example,1,1,50,30,0.00,https://marker.io/blog/website-project-plan-template,6,0.22,0.00,0.33,1120000000,"[7,42,42,42,7,7,7,7,42,7,7,7]",2026-03-30,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
website creation questionnaire,2,2,50,24,6.55,https://marker.io/blog/website-design-questionnaire,6,0.22,39.00,0.18,78500000,"[19,19,42,15,11,19,19,19,15,7,7,7]",2026-03-22,"Sitelinks, Video, Related searches",informational,Organic
website questionnaire,5,5,140,24,3.70,https://marker.io/blog/website-design-questionnaire,6,0.22,22.00,0.57,97700000,"[65,43,43,53,34,34,65,43,43,34,43,21]",2026-03-09,"Sitelinks, Video, Video Carousel, Related searches",informational,Organic
bugherd alternative,3,3,210,2,29.49,https://marker.io/bugherd-alternative,6,0.22,176.00,0.48,8660,"[53,53,53,65,80,80,100,100,80,65,80,65]",2026-04-08,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
ux testing questions,3,3,320,18,1.73,https://marker.io/blog/usability-testing-template,6,0.22,10.00,0,0,"[23,35,54,81,100,23,54,35,66,66,81,66]",2026-03-17,"Image pack, Sitelinks, Video, Related searches, Discussions and forums",informational,Image pack
sit uat,3,3,140,21,0.00,https://marker.io/blog/sit-vs-uat,6,0.22,0.00,0.01,0,"[34,21,43,81,43,43,100,43,53,43,34,34]",2026-03-15,"Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
website creation project plan,3,3,140,30,4.95,https://marker.io/blog/website-project-plan-template,6,0.22,29.00,0.24,614000000,"[2,11,11,5,11,14,3,5,4,100,9,4]",2026-03-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
website development project plan example,1,1,50,27,0.00,https://marker.io/blog/website-project-plan-template,6,0.22,0.00,0,520000000,"[14,78,78,78,14,14,14,21,100,28,21,28]",2026-04-08,"Image pack, Sitelinks, Video, Image, Ads bottom, Related searches, AI overview",informational,Organic
acceptance testing example,1,1,390,34,0.00,https://marker.io/blog/user-acceptance-testing-types,6,0.22,0.00,0,230000000,"[6,10,16,30,24,16,24,13,24,36,76,100]",2026-04-16,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
best platforms for linear integration in coding,1,1,50,8,0.00,https://marker.io/blog/linear-integrations,6,0.22,0.00,0,112,"[0,100,35,0]",2026-04-01,"Video, Related searches, Discussions and forums, AI overview",commercial,Organic
web development questionnaire,2,2,50,19,0.00,https://marker.io/blog/website-design-questionnaire,6,0.22,0.00,0.33,142,"[11,11,11,11,0,11,52,52,52,52,41,52]",2026-03-25,"Sitelinks, Video, Image, Related searches",informational,Organic
uat env,4,4,260,12,0.00,https://marker.io/blog/uat-environment,6,0.22,0.00,0,6850000,"[19,54,29,29,44,54,12,44,15,54,7,4]",2026-04-14,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
